period,pca_x,pca_y
2007-2011,6.53919937785081,1.0936125159462629
2007-2011,8.031817137580642,-2.913250892138596
2007-2011,3.7166813306646658,-1.5256413153638229
2007-2011,4.3112542979717015,-0.6310354547947885
2007-2011,6.724894538100691,-3.4751311464188657
2007-2011,2.8713341877175615,4.260768052584576
2007-2011,-1.9041387057573094,-3.5716084837180064
2007-2011,6.1090941314366,2.2945673104416504
2007-2011,4.791234737250747,1.5018581486740497
2007-2011,2.451070267534859,3.1103092256105205
2007-2011,6.30111389835354,-4.515856991753157
2007-2011,5.4870008431047435,-1.8216251184026588
2007-2011,4.5195546499815515,1.4328332222255113
2007-2011,6.887806912996877,0.4437479856813965
2007-2011,1.2746435788698505,-0.33458400581626035
2007-2011,5.981100571329858,1.2596221434808463
2007-2011,5.488279904141686,2.4976552122156734
2007-2011,3.8128761679836867,2.227727039173444
2007-2011,3.0866235149882257,4.6899579918961125
2007-2011,6.05550936439192,0.38229823016878844
2007-2011,4.647190402710907,2.874229414329432
2007-2011,3.8869765463789294,-0.8747665200774517
2007-2011,5.80894321624073,-0.48328023811039666
2007-2011,3.2785143584763086,-3.8448493643196775
2007-2011,0.03184813642766168,-5.273021416976314
2007-2011,5.1644755257449635,-4.434069792731098
2007-2011,2.1806229155661763,-2.3723767903926545
2007-2011,4.681365970723839,1.112261072374565
2007-2011,-1.9902710270252357,-4.162682976753164
2007-2011,6.958114481718219,0.7769907161436488
2007-2011,-3.812383266867104,-4.025898459297011
2007-2011,-0.06882005968786989,-4.9913808156943436
2007-2011,5.299894718131211,0.9452934926153977
2007-2011,2.646786452831914,2.1586949752387223
2007-2011,5.256046166262391,1.8431626994328454
2007-2011,4.9045815642179384,-0.6698471530994021
2007-2011,0.16508420338597996,-1.853070352888091
2007-2011,4.332419845397688,-0.3251987785351698
2007-2011,5.238310777413581,0.4094904775309781
2007-2011,5.8935293667712525,0.6087879494282347
2007-2011,6.3213003095165,-6.035602742059341
2007-2011,5.366204521195318,-3.9370826731889443
2007-2011,4.66313278127379,-6.3267212129878985
2007-2011,3.6319876859017954,-1.0662243085932386
2007-2011,-3.6290656890612305,0.12522892022425158
2007-2011,7.76445140281797,-0.6806747249495217
2007-2011,7.527655206193513,-1.0700739630102891
2007-2011,6.7253295923544245,0.5570252262722027
2007-2011,0.1877864460221277,-5.264155930074493
2007-2011,4.543935033146262,0.9505564636062838
2007-2011,1.9841276336520997,-1.9682720911673124
2007-2011,3.8043196497470015,-5.209426047443347
2007-2011,3.583499746350804,4.167418703894017
2007-2011,3.826710554650309,1.4598126419266477
2007-2011,3.8201315074234454,-4.138832685032137
2007-2011,-3.5401455848431147,-8.058344747890926
2007-2011,5.308121521508179,-4.279022842548061
2007-2011,6.408846873992273,-1.2312801694095854
2007-2011,0.049052301128976045,-4.159053776741368
2007-2011,-1.922450996676002,-0.6971320094168939
2007-2011,-4.276068616851186,2.7947080689510444
2007-2011,-4.723868908286291,1.6891734546681247
2007-2011,4.918696895041031,-0.9217692483174236
2007-2011,1.8298061899651628,-5.614249468686933
2007-2011,-4.255134950674218,-5.4015122535380105
2007-2011,3.8582883375797006,-5.893438734027951
2007-2011,-2.2142642407249613,-4.754962119740094
2007-2011,-2.7005713319228093,-2.365480192113525
2007-2011,-3.628985019875287,-5.931824628612343
2007-2011,-0.32636802986020397,-3.587303402413081
2007-2011,-1.3068596680212117,-4.228494113745793
2007-2011,5.99723905600666,-0.035313179434230985
2007-2011,-0.8875437383125558,-5.901397526840233
2007-2011,-1.5417420119146912,-3.2371708939280186
2007-2011,-1.124235463834314,-2.3014113956240627
2007-2011,4.985070796918201,-2.2574312097881934
2007-2011,-0.42223552158734035,-6.2340357914197035
2007-2011,4.73776629042953,0.9286655891606486
2007-2011,4.690083630925156,1.8302491391118496
2007-2011,6.673114822738624,0.010523102551567326
2007-2011,6.477586017899167,-3.5132007061882997
2007-2011,3.671204265313679,1.0151181947453516
2007-2011,5.1876282949809935,1.253081771518388
2007-2011,4.93823101870592,-0.19612646547882118
2007-2011,-0.5254391687978788,-3.3505684040638553
2007-2011,3.1328615195352674,1.0907661373923203
2007-2011,4.279060291733877,-1.2981888826233174
2007-2011,1.92479613097617,-5.3873063106583805
2007-2011,3.795782709287608,1.8768028705022588
2007-2011,4.24846376773124,1.7003147545460937
2007-2011,0.34662853007780925,-1.428097755540647
2007-2011,4.868230357589342,-0.5822314943750293
2007-2011,-1.3938212702028694,-2.0351187464009337
2007-2011,4.689685218277292,-1.4181408829774298
2007-2011,4.034495252791445,0.37503419875821603
2007-2011,6.351322925153415,-0.791292869246269
2007-2011,-1.8808689680722668,-1.80039482331007
2007-2011,5.364215494818234,-0.9419935385404009
2007-2011,4.996165132409143,0.029792837673581124
2007-2011,6.187668322481741,-1.4508746530148395
2007-2011,2.6566701895506806,-4.059382811831021
2007-2011,5.626758634434816,-3.9175606180307865
2007-2011,-0.6335047951438217,-4.919990089066678
2007-2011,7.528239050735737,-3.9568298850163117
2007-2011,6.050776900379047,-3.8909826473514766
2007-2011,6.704584143465956,-0.3532156080190653
2007-2011,5.282316454404178,-2.0604514526097892
2007-2011,4.598725973970474,0.14655110186606077
2007-2011,-0.22855201568102765,-4.802239841818945
2007-2011,2.576311311523159,0.810136300664589
2007-2011,6.187263244378776,-0.33749414602779687
2007-2011,3.92301994619403,1.153724303669413
2007-2011,5.885436143418824,1.6965636012169898
2007-2011,6.348852962964297,-2.4969810260042355
2007-2011,6.666188276178005,-1.9762489665495355
2007-2011,7.244356696777483,-1.248414668147621
2007-2011,2.6920972147104933,-5.505894627559014
2007-2011,7.448751615301732,-1.7487785890867433
2007-2011,6.4924138033953245,-3.744895356286892
2007-2011,-1.6317865581630129,-4.279739915862516
2007-2011,2.4984035426791382,1.861254649687225
2007-2011,5.515923130417523,0.401651653220119
2007-2011,-0.9347014640807975,-4.992352407352664
2007-2011,0.3411473866093437,-6.0917989563933865
2007-2011,5.227307486038802,-4.121701783720109
2007-2011,2.74217277929493,-3.7017941722516463
2007-2011,0.16525550387917265,-3.509534893967986
2007-2011,4.97418471304859,-2.1451558926821184
2007-2011,6.251033843759476,0.07601093970557338
2007-2011,5.027087362236172,-2.5306738262208004
2007-2011,3.2330971461240505,1.6120245559425448
2007-2011,0.5897903300030757,-4.47738423277282
2007-2011,-1.028791700025969,-8.238457997788895
2007-2011,7.439067760926278,-2.2831168987197477
2007-2011,3.117790254636562,-3.5822416517217515
2007-2011,-0.8394835414429714,-2.436424430401564
2007-2011,2.094748364818832,-2.4211855207083
2007-2011,6.949291568021019,-6.467855035418133
2007-2011,6.9737974612547635,-4.901515483357236
2007-2011,6.846445684601235,-2.3902004009882307
2007-2011,6.328198722777257,-3.012027434646316
2007-2011,5.2244742532542405,-6.15152070268805
2007-2011,0.20613041109228783,-5.2818513445213675
2007-2011,5.028680246424129,-0.10868308732993597
2007-2011,-2.6944783247316724,-2.759759834078606
