x,y,year,period,representation
-0.36733326,-0.14087033,2008,2007-2011,SBERT MiniLM
-0.2975431,-0.084442586,2008,2007-2011,SBERT MiniLM
-0.18140021,-0.42390504,2008,2007-2011,SBERT MiniLM
-0.16902885,-0.26126057,2008,2007-2011,SBERT MiniLM
0.15888087,-0.3391147,2008,2007-2011,SBERT MiniLM
-0.35600984,-0.23351184,2008,2007-2011,SBERT MiniLM
-0.32375544,-0.30921936,2008,2007-2011,SBERT MiniLM
-0.48051244,0.029349774,2008,2007-2011,SBERT MiniLM
-0.22515823,-0.2548878,2008,2007-2011,SBERT MiniLM
-0.26902467,0.1044482,2008,2007-2011,SBERT MiniLM
-0.028713077,-0.31905493,2008,2007-2011,SBERT MiniLM
-0.15828985,-0.04468183,2008,2007-2011,SBERT MiniLM
-0.23268972,0.032990515,2008,2007-2011,SBERT MiniLM
-0.13271174,0.0812794,2008,2007-2011,SBERT MiniLM
-0.35087448,0.05304633,2008,2007-2011,SBERT MiniLM
-0.33470753,-0.2622348,2008,2007-2011,SBERT MiniLM
-0.27627543,-0.022380643,2008,2007-2011,SBERT MiniLM
-0.3834551,-0.14465305,2008,2007-2011,SBERT MiniLM
-0.25019455,-0.34918416,2008,2007-2011,SBERT MiniLM
-0.34538603,-0.17301281,2008,2007-2011,SBERT MiniLM
-0.31863993,-0.1931788,2008,2007-2011,SBERT MiniLM
0.12889077,-0.3575771,2008,2007-2011,SBERT MiniLM
-0.11787467,0.0934384,2008,2007-2011,SBERT MiniLM
-0.26083016,0.11598876,2008,2007-2011,SBERT MiniLM
0.09833197,-0.4318292,2008,2007-2011,SBERT MiniLM
0.01063703,-0.4545827,2008,2007-2011,SBERT MiniLM
-0.18366884,-0.4472121,2008,2007-2011,SBERT MiniLM
0.052923307,-0.23688124,2008,2007-2011,SBERT MiniLM
0.06068988,-0.27615696,2008,2007-2011,SBERT MiniLM
-0.37300977,-0.26976526,2008,2007-2011,SBERT MiniLM
-0.36188844,-0.016083635,2008,2007-2011,SBERT MiniLM
-0.24638914,-0.23070568,2008,2007-2011,SBERT MiniLM
-0.17405939,0.11315723,2008,2007-2011,SBERT MiniLM
0.2622171,-0.28556556,2008,2007-2011,SBERT MiniLM
0.14267002,-0.44540098,2008,2007-2011,SBERT MiniLM
-0.32681665,-0.24063013,2008,2007-2011,SBERT MiniLM
-0.1867473,-0.44267994,2008,2007-2011,SBERT MiniLM
0.023365542,-0.33547097,2008,2007-2011,SBERT MiniLM
-0.22081423,-0.26516363,2008,2007-2011,SBERT MiniLM
-0.3875615,-0.34431916,2008,2007-2011,SBERT MiniLM
-0.432202,-0.30706984,2008,2007-2011,SBERT MiniLM
-0.36117768,-0.20484471,2008,2007-2011,SBERT MiniLM
-0.26643038,-0.10659299,2008,2007-2011,SBERT MiniLM
-0.26021373,-0.35447606,2008,2007-2011,SBERT MiniLM
0.17717724,-0.36487815,2008,2007-2011,SBERT MiniLM
-0.2391062,0.0834157,2008,2007-2011,SBERT MiniLM
0.20053287,-0.3259511,2008,2007-2011,SBERT MiniLM
-0.37948018,0.08353248,2008,2007-2011,SBERT MiniLM
-0.2685544,0.20395172,2008,2007-2011,SBERT MiniLM
-0.20283474,0.06641397,2008,2007-2011,SBERT MiniLM
-0.13679902,-0.1708234,2008,2007-2011,SBERT MiniLM
-0.22190617,0.06499015,2008,2007-2011,SBERT MiniLM
0.16195162,-0.39428163,2008,2007-2011,SBERT MiniLM
-0.41531852,-0.03856612,2008,2007-2011,SBERT MiniLM
-0.07126122,-0.17747706,2008,2007-2011,SBERT MiniLM
-0.33251393,-0.23181334,2008,2007-2011,SBERT MiniLM
-0.24133515,-0.16263692,2008,2007-2011,SBERT MiniLM
-0.35761416,-0.21974665,2008,2007-2011,SBERT MiniLM
0.15268625,-0.3698549,2008,2007-2011,SBERT MiniLM
-0.2845236,-0.38159877,2008,2007-2011,SBERT MiniLM
-0.07955809,0.10060835,2008,2007-2011,SBERT MiniLM
-0.26664415,-0.118867636,2008,2007-2011,SBERT MiniLM
-0.36946428,-0.28884286,2008,2007-2011,SBERT MiniLM
-0.2640601,-0.031684227,2008,2007-2011,SBERT MiniLM
0.068452165,-0.42647496,2008,2007-2011,SBERT MiniLM
-0.26119053,-0.31902292,2008,2007-2011,SBERT MiniLM
-0.13624223,-0.18513344,2008,2007-2011,SBERT MiniLM
0.019287467,-0.34533045,2008,2007-2011,SBERT MiniLM
0.11291219,-0.29917747,2008,2007-2011,SBERT MiniLM
-0.47901016,-0.038273036,2008,2007-2011,SBERT MiniLM
-0.44757766,-0.12465847,2008,2007-2011,SBERT MiniLM
-0.4078325,-0.120950736,2008,2007-2011,SBERT MiniLM
-0.3840139,-0.1726673,2008,2007-2011,SBERT MiniLM
-0.4352864,-0.17629822,2008,2007-2011,SBERT MiniLM
-0.4807626,-0.27167225,2008,2007-2011,SBERT MiniLM
-0.37623623,-0.17339954,2008,2007-2011,SBERT MiniLM
-0.40718442,-0.13090551,2008,2007-2011,SBERT MiniLM
-0.3855104,-0.24378555,2008,2007-2011,SBERT MiniLM
-0.1654448,0.2138103,2008,2007-2011,SBERT MiniLM
-0.15768899,0.23578379,2008,2007-2011,SBERT MiniLM
-0.28866965,-0.2851055,2008,2007-2011,SBERT MiniLM
0.17034976,-0.376659,2008,2007-2011,SBERT MiniLM
-0.2089338,-0.30316097,2008,2007-2011,SBERT MiniLM
-0.17372407,0.10712789,2008,2007-2011,SBERT MiniLM
0.23697688,-0.28250504,2008,2007-2011,SBERT MiniLM
0.22122751,-0.32130426,2008,2007-2011,SBERT MiniLM
-0.06898249,-0.27650803,2008,2007-2011,SBERT MiniLM
0.120626226,-0.46159425,2008,2007-2011,SBERT MiniLM
-0.38572666,-0.081885695,2008,2007-2011,SBERT MiniLM
0.12669013,-0.33385068,2008,2007-2011,SBERT MiniLM
0.11987309,-0.33786005,2008,2007-2011,SBERT MiniLM
-0.38973507,-0.26249903,2008,2007-2011,SBERT MiniLM
-0.24491528,-0.001557216,2008,2007-2011,SBERT MiniLM
-0.13951746,0.16251028,2008,2007-2011,SBERT MiniLM
-0.5519919,-0.16345713,2008,2007-2011,SBERT MiniLM
-0.16269049,-0.3351354,2008,2007-2011,SBERT MiniLM
-0.5234148,-0.11989047,2008,2007-2011,SBERT MiniLM
-0.2941508,0.06365083,2008,2007-2011,SBERT MiniLM
-0.24279408,-0.16031523,2008,2007-2011,SBERT MiniLM
0.16127522,-0.032895416,2008,2007-2011,SBERT MiniLM
-0.042453706,-0.10488943,2008,2007-2011,SBERT MiniLM
-0.19198218,-0.46021482,2008,2007-2011,SBERT MiniLM
0.09978284,-0.4340459,2008,2007-2011,SBERT MiniLM
0.09956078,-0.22301954,2008,2007-2011,SBERT MiniLM
-0.3235812,-0.14284338,2008,2007-2011,SBERT MiniLM
-0.35272098,0.17007536,2008,2007-2011,SBERT MiniLM
-0.28477028,-0.027561702,2008,2007-2011,SBERT MiniLM
-0.2611132,-0.031184591,2008,2007-2011,SBERT MiniLM
-0.30661798,-0.19020256,2008,2007-2011,SBERT MiniLM
-0.3258469,-0.013068654,2008,2007-2011,SBERT MiniLM
-0.2064464,-0.380663,2008,2007-2011,SBERT MiniLM
-0.15159047,-0.21845737,2008,2007-2011,SBERT MiniLM
-0.21964139,0.15147656,2008,2007-2011,SBERT MiniLM
-0.22954082,0.17373538,2008,2007-2011,SBERT MiniLM
0.11492677,-0.3339377,2008,2007-2011,SBERT MiniLM
-0.2207827,0.018932864,2008,2007-2011,SBERT MiniLM
-0.46175456,0.140758,2008,2007-2011,SBERT MiniLM
-0.09652078,-0.34441882,2008,2007-2011,SBERT MiniLM
-0.22759432,0.14773369,2008,2007-2011,SBERT MiniLM
-0.4684375,0.04693061,2009,2007-2011,SBERT MiniLM
-0.42240942,-0.052347783,2009,2007-2011,SBERT MiniLM
-0.3066063,-0.2901991,2009,2007-2011,SBERT MiniLM
-0.32461822,0.032686427,2009,2007-2011,SBERT MiniLM
0.049087286,-0.34288937,2009,2007-2011,SBERT MiniLM
-0.42303395,0.019307569,2009,2007-2011,SBERT MiniLM
-0.18299282,-0.28320688,2009,2007-2011,SBERT MiniLM
-0.032892585,-0.0915941,2009,2007-2011,SBERT MiniLM
0.0452483,-0.32396483,2009,2007-2011,SBERT MiniLM
-0.14338727,-0.150396,2009,2007-2011,SBERT MiniLM
-0.2206128,0.030532092,2009,2007-2011,SBERT MiniLM
0.050104454,-0.27191687,2009,2007-2011,SBERT MiniLM
-0.2695515,-0.38514918,2009,2007-2011,SBERT MiniLM
0.20538963,-0.17325255,2009,2007-2011,SBERT MiniLM
-0.23424686,-0.26436445,2009,2007-2011,SBERT MiniLM
-0.18170168,-0.40867043,2009,2007-2011,SBERT MiniLM
-0.22274208,-0.22911301,2009,2007-2011,SBERT MiniLM
-0.14889726,0.22945064,2009,2007-2011,SBERT MiniLM
-0.16821396,0.19534409,2009,2007-2011,SBERT MiniLM
0.16427363,-0.41157958,2009,2007-2011,SBERT MiniLM
