x,y,year,period,representation
0.070654586,0.40339956,2008,2007-2011,SBERT MPNet
-0.41049278,0.14175493,2008,2007-2011,SBERT MPNet
-0.37886876,0.24976298,2008,2007-2011,SBERT MPNet
-0.3834114,-0.07962153,2008,2007-2011,SBERT MPNet
-0.32820356,0.17775613,2008,2007-2011,SBERT MPNet
-0.2625399,-0.19681847,2008,2007-2011,SBERT MPNet
0.029796273,0.30938107,2008,2007-2011,SBERT MPNet
-0.28617352,0.035725795,2008,2007-2011,SBERT MPNet
-0.37801737,-0.034233995,2008,2007-2011,SBERT MPNet
-0.18442816,-0.1183596,2008,2007-2011,SBERT MPNet
-0.246197,-0.14059952,2008,2007-2011,SBERT MPNet
-0.4254058,0.098506674,2008,2007-2011,SBERT MPNet
-0.37650445,0.025247287,2008,2007-2011,SBERT MPNet
-0.35900646,0.03801212,2008,2007-2011,SBERT MPNet
-0.3151062,0.31564188,2008,2007-2011,SBERT MPNet
-0.3459425,0.111151956,2008,2007-2011,SBERT MPNet
-0.3092392,0.083765134,2008,2007-2011,SBERT MPNet
0.049763247,0.4530495,2008,2007-2011,SBERT MPNet
-0.21260275,-0.14666158,2008,2007-2011,SBERT MPNet
-0.25732553,-0.122636266,2008,2007-2011,SBERT MPNet
0.032482415,0.4491276,2008,2007-2011,SBERT MPNet
-0.065741435,0.38738638,2008,2007-2011,SBERT MPNet
-0.3020521,0.33966553,2008,2007-2011,SBERT MPNet
-0.042000517,0.20714912,2008,2007-2011,SBERT MPNet
-0.04654284,0.33928326,2008,2007-2011,SBERT MPNet
-0.4476459,0.12659234,2008,2007-2011,SBERT MPNet
-0.367715,0.078404985,2008,2007-2011,SBERT MPNet
-0.35680324,0.15546939,2008,2007-2011,SBERT MPNet
-0.258691,-0.13885885,2008,2007-2011,SBERT MPNet
0.0037096888,0.4119458,2008,2007-2011,SBERT MPNet
0.0018134266,0.43101567,2008,2007-2011,SBERT MPNet
-0.3735637,0.10574329,2008,2007-2011,SBERT MPNet
-0.3124407,0.4062225,2008,2007-2011,SBERT MPNet
-0.10176187,0.3255065,2008,2007-2011,SBERT MPNet
-0.3395424,0.25569442,2008,2007-2011,SBERT MPNet
-0.40648943,0.32052106,2008,2007-2011,SBERT MPNet
-0.46090388,0.2352004,2008,2007-2011,SBERT MPNet
-0.3603794,0.15324286,2008,2007-2011,SBERT MPNet
-0.30168176,0.06380236,2008,2007-2011,SBERT MPNet
-0.3655529,0.24565089,2008,2007-2011,SBERT MPNet
0.038683727,0.3983438,2008,2007-2011,SBERT MPNet
-0.30831665,-0.09406749,2008,2007-2011,SBERT MPNet
0.20821826,0.31809008,2008,2007-2011,SBERT MPNet
-0.38792378,-0.12229494,2008,2007-2011,SBERT MPNet
-0.18309885,-0.2621315,2008,2007-2011,SBERT MPNet
-0.27218324,-0.09106552,2008,2007-2011,SBERT MPNet
-0.18569256,0.06615964,2008,2007-2011,SBERT MPNet
-0.20893334,-0.07675753,2008,2007-2011,SBERT MPNet
0.067542,0.41895428,2008,2007-2011,SBERT MPNet
-0.43424624,0.063400455,2008,2007-2011,SBERT MPNet
-0.15370737,0.26069596,2008,2007-2011,SBERT MPNet
-0.30672854,0.12812248,2008,2007-2011,SBERT MPNet
-0.2917667,0.23695621,2008,2007-2011,SBERT MPNet
-0.4334401,0.24300545,2008,2007-2011,SBERT MPNet
0.102145836,0.35698274,2008,2007-2011,SBERT MPNet
-0.4365915,0.290143,2008,2007-2011,SBERT MPNet
-0.06898597,-0.095080234,2008,2007-2011,SBERT MPNet
-0.26359093,0.13363358,2008,2007-2011,SBERT MPNet
-0.38157743,0.21496257,2008,2007-2011,SBERT MPNet
-0.35516977,0.053167753,2008,2007-2011,SBERT MPNet
-0.05595316,0.33058262,2008,2007-2011,SBERT MPNet
-0.46541893,0.33927318,2008,2007-2011,SBERT MPNet
-0.15983613,0.1666294,2008,2007-2011,SBERT MPNet
-0.058317646,0.37430298,2008,2007-2011,SBERT MPNet
0.11275722,0.38995296,2008,2007-2011,SBERT MPNet
-0.43094015,0.06436524,2008,2007-2011,SBERT MPNet
-0.402632,0.05834225,2008,2007-2011,SBERT MPNet
-0.3880787,0.044650197,2008,2007-2011,SBERT MPNet
-0.37084258,0.10576069,2008,2007-2011,SBERT MPNet
