x,y,year,period,representation
-4.5987263,-0.14656737,2008,2007-2011,SBERT Specter
0.22854745,4.8022256,2008,2007-2011,SBERT Specter
-2.5763168,-0.81012726,2008,2007-2011,SBERT Specter
-6.1872716,0.33748916,2008,2007-2011,SBERT Specter
-3.9230275,-1.1537284,2008,2007-2011,SBERT Specter
-5.8854384,-1.6965755,2008,2007-2011,SBERT Specter
-6.348848,2.4969907,2008,2007-2011,SBERT Specter
-6.666187,1.9762629,2008,2007-2011,SBERT Specter
-7.24435,1.2484496,2008,2007-2011,SBERT Specter
-2.6920893,5.505888,2008,2007-2011,SBERT Specter
-7.448747,1.7488087,2008,2007-2011,SBERT Specter
-6.4924116,3.7449284,2008,2007-2011,SBERT Specter
1.6317767,4.279733,2008,2007-2011,SBERT Specter
-2.4984057,-1.8612689,2008,2007-2011,SBERT Specter
-5.515932,-0.4016654,2008,2007-2011,SBERT Specter
0.9347018,4.992339,2008,2007-2011,SBERT Specter
-0.34115314,6.0918074,2008,2007-2011,SBERT Specter
-5.227312,4.1216974,2008,2007-2011,SBERT Specter
-2.7421832,3.7017822,2008,2007-2011,SBERT Specter
-0.16526425,3.509536,2008,2007-2011,SBERT Specter
-4.9741883,2.1451716,2008,2007-2011,SBERT Specter
-6.2510295,-0.07599768,2008,2007-2011,SBERT Specter
-5.0270987,2.5306811,2008,2007-2011,SBERT Specter
-3.2330985,-1.6120259,2008,2007-2011,SBERT Specter
-0.5897955,4.4773855,2008,2007-2011,SBERT Specter
1.0287882,8.238458,2008,2007-2011,SBERT Specter
-7.439061,2.2831452,2008,2007-2011,SBERT Specter
-3.117795,3.582274,2008,2007-2011,SBERT Specter
0.83948076,2.4364114,2008,2007-2011,SBERT Specter
-2.0947523,2.4211974,2008,2007-2011,SBERT Specter
-6.949296,6.467862,2008,2007-2011,SBERT Specter
-6.9737997,4.9015155,2008,2007-2011,SBERT Specter
-6.846451,2.390204,2008,2007-2011,SBERT Specter
-6.3281984,3.0120244,2008,2007-2011,SBERT Specter
-5.224483,6.151525,2008,2007-2011,SBERT Specter
-0.20613515,5.281842,2008,2007-2011,SBERT Specter
-5.028677,0.10866448,2008,2007-2011,SBERT Specter
2.6944675,2.7597582,2008,2007-2011,SBERT Specter
-6.2884755,1.0175219,2008,2007-2011,SBERT Specter
-4.543068,-0.6848167,2008,2007-2011,SBERT Specter
-4.6519475,-1.0580075,2008,2007-2011,SBERT Specter
-3.6079988,0.118505985,2008,2007-2011,SBERT Specter
-3.4459677,1.0326246,2008,2007-2011,SBERT Specter
0.9645983,3.6403317,2008,2007-2011,SBERT Specter
-6.0726833,-0.6622511,2008,2007-2011,SBERT Specter
-3.1412811,5.203015,2008,2007-2011,SBERT Specter
-6.459103,4.5746994,2008,2007-2011,SBERT Specter
-4.6886353,4.5033636,2008,2007-2011,SBERT Specter
-7.4230866,5.5002575,2008,2007-2011,SBERT Specter
3.5638137,4.391982,2008,2007-2011,SBERT Specter
-6.179808,4.3183513,2008,2007-2011,SBERT Specter
-2.1527543,-1.6073238,2008,2007-2011,SBERT Specter
-3.8434231,2.4109235,2008,2007-2011,SBERT Specter
-6.200316,1.9828595,2008,2007-2011,SBERT Specter
-4.858026,2.5400357,2008,2007-2011,SBERT Specter
2.758894,4.8742046,2008,2007-2011,SBERT Specter
-5.1840525,4.91389,2008,2007-2011,SBERT Specter
-2.1059892,1.4004449,2008,2007-2011,SBERT Specter
3.6773372,2.6269422,2008,2007-2011,SBERT Specter
3.6936545,4.4730816,2008,2007-2011,SBERT Specter
