period,0,1,2,3,4,5,6,7,8,9,10,11
2007-2011,0.00946372239747634,0.08438485804416404,0.031545741324921134,0.17902208201892744,0.30757097791798105,0.027602523659305992,0.018138801261829655,0.022082018927444796,0.00946372239747634,0.04337539432176656,0.23738170347003154,0.02996845425867508
2012-2016,0.026344280043305666,0.07235654998195597,0.04763623240707326,0.11782749909779863,0.21111512089498377,0.036629375676651026,0.019848430169613858,0.04114038253338145,0.046012269938650305,0.07722843738722483,0.26578852399855646,0.03807289787080476
2017-2021,0.08931121067401901,0.04933287381221998,0.10634631480478558,0.10674019004480331,0.07572251489340752,0.06370932007286692,0.07562404608340308,0.06213381911279602,0.10432770419969474,0.1564177046920388,0.03727044458667717,0.07306385702328787
