period,pca_x,pca_y
2007-2011,6.5391994690731625,1.0936125259219682
2007-2011,8.031816199419872,-2.913253198769845
2007-2011,3.7166815642727773,-1.5256402106870761
2007-2011,4.3112542759852115,-0.6310361225549612
2007-2011,6.7248947885205945,-3.4751327294145264
2007-2011,2.871334296693062,4.260767117494151
2007-2011,-1.9041386194260512,-3.571608453944078
2007-2011,6.109093951901971,2.294565640328508
2007-2011,4.791235791743633,1.501856361806379
2007-2011,2.451069609497357,3.1103106247002543
2007-2011,6.301113962155725,-4.515857033476858
2007-2011,5.487000916597378,-1.8216252555369994
2007-2011,4.519554850572927,1.4328339406935342
2007-2011,6.887806992718369,0.44374799110630303
2007-2011,1.2746436699673733,-0.3345840988085299
2007-2011,5.981100746966767,1.2596205900718687
2007-2011,5.488280289699189,2.4976542143003617
2007-2011,3.812877944386189,2.227726384038008
2007-2011,3.0866231335467065,4.689957195609776
2007-2011,6.055509420515213,0.38229821045770546
2007-2011,4.647190519998539,2.874229480353404
2007-2011,3.8869781095987554,-0.8747656216594814
2007-2011,5.808943301680426,-0.4832802190313751
2007-2011,3.2785143706568087,-3.8448486844055765
2007-2011,0.03184533681192156,-5.273022464593171
2007-2011,5.164475731416799,-4.434070377506762
2007-2011,2.180622997378987,-2.3723767702567766
2007-2011,4.681364245132309,1.1122619833108782
2007-2011,-1.9902703167068654,-4.1626809870144434
2007-2011,6.958114543433803,0.7769906658628936
2007-2011,-3.8123831795095553,-4.0258969584608035
2007-2011,-0.06881997388221317,-4.991380847512055
2007-2011,5.299893742571156,0.9452935194146648
2007-2011,2.6467872233352105,2.1586942080603873
2007-2011,5.256046258660106,1.8431626640990033
2007-2011,4.904582774562834,-0.6698488706522607
2007-2011,0.16508429733764654,-1.8530703143856264
2007-2011,4.332418519434292,-0.3251983369929174
2007-2011,5.238309427598586,0.40949054815051356
2007-2011,5.893529449441761,0.608787980540389
2007-2011,6.3213003930907385,-6.03560286142644
2007-2011,5.366204593465913,-3.937082932101255
2007-2011,4.66313281365408,-6.326721328691162
2007-2011,3.6319877604794684,-1.0662243038042774
2007-2011,-3.629064127733703,0.1252294255346353
2007-2011,7.764450976062973,-0.6806754128529612
2007-2011,7.527657433160941,-1.0700734567945511
2007-2011,6.725330622998143,0.557024414371432
2007-2011,0.18778653704737172,-5.2641559141877305
2007-2011,4.5439332358346505,0.9505576363526792
2007-2011,1.984127355014067,-1.968271456023536
2007-2011,3.8043197234149844,-5.209426052729468
2007-2011,3.583501156665588,4.167417462662954
2007-2011,3.826710627491951,1.459811715662965
2007-2011,3.820133826999239,-4.138831989280867
2007-2011,-3.540144351746534,-8.058344450060977
2007-2011,5.308121601751315,-4.27902297633462
2007-2011,6.408846956051018,-1.231280252643491
2007-2011,0.04905278643188589,-4.159054452174804
2007-2011,-1.9224509087708976,-0.6971319071498822
2007-2011,-4.276069315001637,2.7947077256638186
2007-2011,-4.723868837706359,1.6891734925191493
2007-2011,4.918698859870436,-0.921768915279514
2007-2011,1.8298062201404692,-5.614249492832206
2007-2011,-4.255136195014051,-5.401511228400102
2007-2011,3.858287436016533,-5.8934403644276125
2007-2011,-2.214265147598602,-4.754964122079277
