x,y,year,period,representation
-4.5987244,-0.1465672,2008,2007-2011,SBERT Specter
0.22854853,4.802225,2008,2007-2011,SBERT Specter
-2.576316,-0.81012774,2008,2007-2011,SBERT Specter
-6.18727,0.337489,2008,2007-2011,SBERT Specter
-3.9230268,-1.1537284,2008,2007-2011,SBERT Specter
-5.885439,-1.6965759,2008,2007-2011,SBERT Specter
-6.3488464,2.4969916,2008,2007-2011,SBERT Specter
-6.6661863,1.9762634,2008,2007-2011,SBERT Specter
-7.2443495,1.2484492,2008,2007-2011,SBERT Specter
-2.6920877,5.5058885,2008,2007-2011,SBERT Specter
-7.4487476,1.7488066,2008,2007-2011,SBERT Specter
-6.4924116,3.7449284,2008,2007-2011,SBERT Specter
1.631778,4.2797313,2008,2007-2011,SBERT Specter
-2.498403,-1.8612696,2008,2007-2011,SBERT Specter
-5.51593,-0.40166572,2008,2007-2011,SBERT Specter
0.9347024,4.9923387,2008,2007-2011,SBERT Specter
-0.34115207,6.091807,2008,2007-2011,SBERT Specter
-5.227312,4.1216984,2008,2007-2011,SBERT Specter
-2.7421825,3.7017817,2008,2007-2011,SBERT Specter
-0.16526377,3.5095358,2008,2007-2011,SBERT Specter
-4.974187,2.1451712,2008,2007-2011,SBERT Specter
-6.251028,-0.07599771,2008,2007-2011,SBERT Specter
-5.0270967,2.5306807,2008,2007-2011,SBERT Specter
-3.2330968,-1.6120267,2008,2007-2011,SBERT Specter
-0.5897931,4.477386,2008,2007-2011,SBERT Specter
1.0287876,8.238457,2008,2007-2011,SBERT Specter
-7.439063,2.2831445,2008,2007-2011,SBERT Specter
-3.1177933,3.5822759,2008,2007-2011,SBERT Specter
0.83948183,2.436411,2008,2007-2011,SBERT Specter
-2.0947511,2.4211974,2008,2007-2011,SBERT Specter
-6.949295,6.4678617,2008,2007-2011,SBERT Specter
-6.9737988,4.9015164,2008,2007-2011,SBERT Specter
-6.84645,2.390204,2008,2007-2011,SBERT Specter
-6.3281975,3.0120244,2008,2007-2011,SBERT Specter
-5.2244806,6.151525,2008,2007-2011,SBERT Specter
-0.20613468,5.2818418,2008,2007-2011,SBERT Specter
-5.028676,0.108665824,2008,2007-2011,SBERT Specter
2.6944687,2.759758,2008,2007-2011,SBERT Specter
-6.288475,1.0175221,2008,2007-2011,SBERT Specter
-4.543065,-0.6848175,2008,2007-2011,SBERT Specter
-4.651947,-1.0580072,2008,2007-2011,SBERT Specter
-3.6079988,0.11850488,2008,2007-2011,SBERT Specter
-3.445967,1.0326256,2008,2007-2011,SBERT Specter
0.96459866,3.6403317,2008,2007-2011,SBERT Specter
-6.0726814,-0.66225135,2008,2007-2011,SBERT Specter
-3.1412802,5.203015,2008,2007-2011,SBERT Specter
-6.4591007,4.5746994,2008,2007-2011,SBERT Specter
-4.688634,4.503365,2008,2007-2011,SBERT Specter
-7.4230833,5.50026,2008,2007-2011,SBERT Specter
3.5638134,4.3919826,2008,2007-2011,SBERT Specter
-6.1798077,4.3183513,2008,2007-2011,SBERT Specter
-2.1527534,-1.6073233,2008,2007-2011,SBERT Specter
-3.8434215,2.410924,2008,2007-2011,SBERT Specter
-6.2003155,1.9828597,2008,2007-2011,SBERT Specter
-4.8580256,2.5400362,2008,2007-2011,SBERT Specter
2.7588942,4.874204,2008,2007-2011,SBERT Specter
-5.1840534,4.9138904,2008,2007-2011,SBERT Specter
-2.1059885,1.400444,2008,2007-2011,SBERT Specter
3.6773388,2.6269417,2008,2007-2011,SBERT Specter
3.6936572,4.4730825,2008,2007-2011,SBERT Specter
-7.904069,0.28654194,2008,2007-2011,SBERT Specter
-7.683893,0.45971012,2008,2007-2011,SBERT Specter
-7.6279984,0.008930683,2008,2007-2011,SBERT Specter
-5.1510267,1.7901024,2008,2007-2011,SBERT Specter
-7.509983,1.244963,2008,2007-2011,SBERT Specter
-8.596806,0.9530779,2008,2007-2011,SBERT Specter
-7.7922163,-0.0349797,2008,2007-2011,SBERT Specter
-6.586773,0.8612945,2008,2007-2011,SBERT Specter
-7.0076036,1.7620846,2008,2007-2011,SBERT Specter
-4.0395412,-2.3084671,2008,2007-2011,SBERT Specter
-3.87419,-2.957522,2008,2007-2011,SBERT Specter
-4.6105967,6.3808603,2008,2007-2011,SBERT Specter
3.4601414,4.479846,2008,2007-2011,SBERT Specter
-5.4788914,4.205019,2008,2007-2011,SBERT Specter
-4.3057795,-1.9139613,2008,2007-2011,SBERT Specter
